index,marca,nombre,pegatina,anyo,km,combustible,cv,transmision,unico_dueno,ubicacion,longitud,anchura,altura,peso,maletero,deposito,velocidad_maxima,0a100,consumo,emisiones,numero_llaves,numero_extras,precio
3304,Renault,Renault Scénic,C,2007,52646,Gasolina,110,MANUAL,True,,4.26,1.81,1.62,1320,1840,-,180,11.8,7.6,182,2,5,4190
3305,Opel,Opel Astra,C,2021,47311,Gasolina,145,AUTO,False,Valencia,4.7,1.81,1.51,1395,1630,-,210,9.8,5.8,132,1,5,14328
3306,Volkswagen,Volkswagen Tiguan,B,2010,130922,Diésel,140,MANUAL,False,Sevilla,4.43,1.81,1.69,1535,1510,-,192,10.2,5.3,139,1,5,12900
3307,Nissan,Nissan JUKE,B,2015,137829,Diésel,110,MANUAL,False,,4.14,1.77,1.57,1305,1189,-,175,11.2,4.0,104,2,5,9700
3308,Opel,Opel Astra,C,2021,117632,Gasolina,145,AUTO,False,Valencia,4.7,1.81,1.51,1395,1630,-,210,9.8,5.8,131,2,5,11561
3309,KIA,KIA Ceed,C,2019,85268,Gasolina,204,AUTO,True,Vizcaya,4.33,1.8,1.44,1413,1291,-,225,7.4,6.2,142,2,5,23490
3310,BMW,BMW X4,C,2015,127562,Diésel,258,AUTO,False,Barcelona,4.67,1.88,1.62,1895,1400,-,234,5.8,5.9,156,2,5,29500
3311,Cupra,Cupra León,0_EMISIONES,2021,28911,Híbrido Enchufable,245,AUTO,False,Córdoba,4.66,1.8,1.46,1717,,-,225,7.0,1.6,52,2,5,30990
3312,Peugeot,Peugeot 807,B,2008,182803,Diésel,170,MANUAL,False,,4.73,1.85,1.85,1865,2948,-,200,10.0,7.2,191,2,5,5800
3313,Nissan,Nissan QASHQAI,C,2018,100690,Diésel,130,MANUAL,False,Granada,4.39,1.81,1.59,1429,1598,-,190,9.9,4.4,116,2,5,19990
3314,Nissan,Nissan JUKE,C,2016,80386,Diésel,110,MANUAL,False,Málaga,4.14,1.77,1.57,1305,1189,-,175,11.2,4.0,104,2,5,12300
3315,Seat,Seat Ibiza,C,2015,49109,Gasolina,70,MANUAL,False,Gipuzkoa,4.04,1.69,1.43,1049,,-,163,5.4,125.0,,2,4,10990
3316,Seat,Seat León,C,2019,89126,Gasolina,150,AUTO,True,Alicante,4.55,1.82,1.45,1294,1470,-,215,8.3,5.2,118,1,5,14710
3317,Fiat,Fiat Scudo,C,2022,31567,Diésel,102,MANUAL,False,Albacete,4.61,1.92,1.91,1616,,-,,162.0,,,1,5,17024
3318,Dacia,Dacia Sandero,C,2012,52058,Gasolina,75,MANUAL,True,Murcia,4.02,1.75,1.53,975,1200,-,161,13.6,5.9,135,2,3,5490
3319,KIA,KIA Sportage,C,2016,91033,Diésel,115,MANUAL,True,,4.44,1.86,1.63,1490,1353,-,173,12.3,5.3,139,2,5,14190
3320,BMW,BMW i3,0_EMISIONES,2015,103414,Eléctrico,170,AUTO,False,Murcia,4.0,1.78,1.6,1270,1100,-,150,7.2,160.0,,2,5,15300
3321,Opel,Opel Corsa,C,2014,65860,Gasolina,100,MANUAL,True,Valencia,4.0,1.74,1.49,1183,1100,-,180,11.9,5.7,120,2,5,9490
3322,Seat,Seat Ateca,C,2021,56652,Diésel,150,MANUAL,False,Zaragoza,4.38,1.84,1.6,1483,,-,203,9.3,4.8,127,2,5,24900
3323,Toyota,Toyota C-HR,ECO,2018,111048,Híbrido,122,AUTO,False,Huelva,4.36,1.8,1.56,1495,1160,-,170,11.0,3.8,86,1,5,20790
3324,Seat,Seat Ibiza,C,2021,80062,Gasolina,110,MANUAL,True,Castellón,4.06,1.78,1.44,1134,1165,-,195,10.2,5.1,116,2,5,12314
3325,Hyundai,Hyundai i30,C,2019,64414,Gasolina,120,MANUAL,False,Granada,4.34,1.8,1.46,1220,1301,-,190,11.1,5.6,127,2,5,16500
3326,Citroën,Citroën Berlingo,C,2019,79025,Diésel,102,MANUAL,False,,4.4,1.85,1.84,1374,983,-,175,4.0,155.0,,1,5,19200
3327,Toyota,Toyota Yaris,C,2011,155557,Gasolina,69,MANUAL,True,Madrid,3.79,1.7,1.53,1010,,-,155,15.7,5.0,118,1,3,6290
3328,Volvo,Volvo XC40,C,2021,72094,Gasolina,129,MANUAL,True,Ciudad,4.43,1.86,1.65,1509,1328,-,180,10.9,7.0,159,2,5,24290
3329,Hyundai,Hyundai i20,C,2019,70073,Gasolina,75,MANUAL,False,,4.04,1.73,1.47,1040,1017,-,160,13.6,6.0,136,2,5,11690
3330,Seat,Seat León,C,2018,41481,Gasolina,150,AUTO,False,,4.55,1.82,1.45,1297,1470,-,215,8.2,5.0,117,1,5,18400
3331,Peugeot,Peugeot Rifter,C,2021,46728,Diésel,130,MANUAL,True,Toledo,4.75,1.85,1.88,1527,3500,-,179,5.5,143.0,,2,5,25800
3332,Mini,Mini MINI,C,2021,20166,Gasolina,102,MANUAL,False,Madrid,4.02,1.73,1.43,1285,941,-,192,10.6,5.9,126,2,5,21990
3333,Seat,Seat Alhambra,B,2014,124667,Diésel,140,MANUAL,False,Vizcaya,4.85,1.9,1.74,1699,2430,-,194,10.9,5.5,143,2,5,17390
3334,Ford,Ford Ka+,C,2019,120767,Diésel,95,MANUAL,False,Santander,3.94,1.7,1.52,1121,1029,-,179,11.4,4.1,130,2,5,11990
3335,Hyundai,Hyundai i30,C,2020,82934,Gasolina,120,MANUAL,True,Granada,4.34,1.8,1.46,1220,1301,-,190,11.1,5.6,127,2,5,15190
3336,Ford,Ford Focus,C,2018,60771,Gasolina,125,AUTO,True,,4.38,1.83,1.45,1371,1320,-,195,11.1,5.7,128,2,5,18250
3337,Volkswagen,Volkswagen Tiguan,C,2023,33884,Diésel,150,AUTO,False,Vizcaya,4.51,1.84,1.68,1640,1655,-,200,9.4,5.7,122,2,5,41990
3338,Volvo,Volvo XC40,C,2020,63532,Gasolina,163,AUTO,False,Vizcaya,4.43,1.87,1.65,1758,1308,-,,166.0,,,2,5,27300
3339,Hyundai,Hyundai Tucson,ECO,2019,87149,Híbrido,136,AUTO,True,,4.48,1.85,1.66,1507,1503,-,180,11.8,5.6,146,2,5,21290
3340,Seat,Seat Ibiza,C,2021,45350,Gasolina,110,MANUAL,True,Vizcaya,4.06,1.78,1.44,1134,1165,-,195,10.2,4.8,123,2,5,17290
